gu_std,year,area_band,jeonse_price,jeonse_count,sale_price,sale_count,jeonse_ratio_pct,risk_band
중랑구,2024,59㎡,29900.0,1167,57000.0,381,52.45614035087719,안정(<60)
중구,2022,84㎡,65000.0,544,124000.0,35,52.41935483870967,안정(<60)
종로구,2023,59㎡,45000.0,253,85870.0,50,52.404797950390126,안정(<60)
강북구,2021,59㎡,35000.0,428,67000.0,277,52.23880597014925,안정(<60)
종로구,2024,59㎡,48000.0,177,91945.0,90,52.20512262765784,안정(<60)
강서구,2025,59㎡,42000.0,2390,80500.0,1256,52.17391304347826,안정(<60)
구로구,2023,59㎡,32000.0,1819,61350.0,440,52.15973920130399,안정(<60)
종로구,2023,84㎡,75000.0,420,144000.0,85,52.083333333333336,안정(<60)
광진구,2021,기타,59800.0,783,115000.0,281,52.0,안정(<60)
강서구,2023,59㎡,37000.0,2751,71300.0,506,51.89340813464236,안정(<60)
구로구,2021,59㎡,33000.0,1366,63700.0,659,51.80533751962323,안정(<60)
광진구,2024,59㎡,53000.0,697,102500.0,342,51.707317073170735,안정(<60)
도봉구,2021,33㎡,17000.0,65,32900.0,33,51.671732522796354,안정(<60)
노원구,2026,59㎡,31000.0,376,60000.0,190,51.66666666666667,안정(<60)
영등포구,2025,84㎡,63000.0,2144,122000.0,1556,51.63934426229508,안정(<60)
서대문구,2025,기타,50000.0,858,97000.0,646,51.546391752577314,안정(<60)
중구,2025,84㎡,68250.0,593,132500.0,379,51.509433962264154,안정(<60)
서대문구,2025,59㎡,46690.0,1528,90750.0,1218,51.44903581267217,안정(<60)
영등포구,2023,84㎡,55000.0,2228,107000.0,549,51.4018691588785,안정(<60)
중구,2025,59㎡,56000.0,538,109000.0,373,51.37614678899083,안정(<60)
관악구,2021,59㎡,40000.0,1008,77900.0,482,51.34788189987163,안정(<60)
은평구,2021,84㎡,45150.0,1639,88000.0,544,51.30681818181818,안정(<60)
관악구,2026,기타,46125.0,86,90000.0,76,51.24999999999999,안정(<60)
양천구,2024,59㎡,40792.0,1075,79875.0,462,51.069796557120505,안정(<60)
성동구,2024,84㎡,74550.0,2187,146000.0,1050,51.061643835616444,안정(<60)
마포구,2024,84㎡,73000.0,2229,143000.0,1049,51.048951048951054,안정(<60)
종로구,2022,59㎡,42000.0,168,82500.0,26,50.90909090909091,안정(<60)
도봉구,2024,59㎡,28000.0,675,55000.0,307,50.90909090909091,안정(<60)
도봉구,2023,33㎡,14500.0,46,28500.0,19,50.877192982456144,안정(<60)
광진구,2024,84㎡,70000.0,1164,137900.0,508,50.76142131979695,안정(<60)
성동구,2024,59㎡,57855.0,2221,114000.0,1168,50.74999999999999,안정(<60)
