aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
,이촌코오롱(A),1999,개인,,,"289,000",14,1,2026,중개거래,서울 용산구,114.69,4,412,N,,11170,개인,이촌동,용산구
,한강타운,2001,개인,,,"114,500",13,1,2026,중개거래,서울 마포구,59.69,1,204,N,,11170,개인,산천동,용산구
,한강타운,2001,개인,,,"117,000",13,1,2026,중개거래,서울 마포구,59.69,8,204,N,,11170,개인,산천동,용산구
,대우월드마크용산,2007,개인,,,"195,000",7,1,2026,중개거래,서울 용산구,96.645,26,64,N,,11170,개인,한강로1가,용산구
,리버힐삼성,2001,개인,,,"139,300",12,1,2026,중개거래,서울 용산구,59.55,1,193,N,,11170,개인,산천동,용산구
,용산데시앙포레,2022,개인,,,"152,000",9,1,2026,중개거래,서울 용산구,59.7642,14,288,N,,11170,개인,효창동,용산구
,리버탑,2001,개인,26.02.02,O,"169,000",6,1,2026,중개거래,서울 용산구,84.77,10,802,N,,11170,개인,한남동,용산구
,센트레빌아스테리움서울,2013,개인,,,"183,000",2,1,2026,중개거래,서울 용산구,131.05,16,45,N,,11170,개인,동자동,용산구
,한남아이파크애비뉴,2017,개인,,,"91,000",10,1,2026,중개거래,서울 용산구,47.8105,9,828,N,,11170,개인,한남동,용산구
,한강(대우),2000,개인,,,"242,000",9,1,2026,중개거래,서울 용산구,60.0,7,415,N,,11170,개인,이촌동,용산구
,GS자이,2005,개인,,,"339,000",7,1,2026,직거래,,223.75,5,181,N,,11170,개인,청암동,용산구
,용산파크자이,2005,개인,,,"263,500",3,1,2026,중개거래,서울 용산구,123.12,26,50-1,N,,11170,개인,한강로1가,용산구
,이안용산1차(101동),2005,개인,,,"127,000",2,1,2026,중개거래,서울 용산구,84.95,3,11-14,N,,11170,개인,문배동,용산구
,강변삼성스위트,1999,개인,,,"139,300",5,1,2026,중개거래,서울 용산구,59.94,2,178,N,,11170,개인,원효로4가,용산구
